"archive_path","source_path","purpose","evidence_level"
"evidence/SRM_PARALLEL_LOOKAHEAD_TODO_JA.md","SRM_PARALLEL_LOOKAHEAD_TODO_JA.md","SRM高速化、探索、ログ、実ケース未検証項目","confirmed"
"evidence/PERFORMANCE_REVIEW_JA.md","docs/PERFORMANCE_REVIEW_JA.md","solver高速化と性能ゲート","confirmed"
"evidence/CASE2_CASE4_MC_NUMBA_VALIDATION_JA.md","docs/CASE2_CASE4_MC_NUMBA_VALIDATION_JA.md","Case2/4 Numba検証手順","confirmed"
"evidence/DEVELOPER_GUIDE_JA.md","docs/DEVELOPER_GUIDE_JA.md","回帰コマンドと開発ルール","confirmed"
"evidence/unresolved_items.md","unresolved_items.md","品質改善バックログ","confirmed"
"evidence/case1_speed_validation_analysis_log.json","runs/case1-4_speed_validation_20260722/case1/analysis_log.json","early stop、failure score、fallback、bracket","confirmed"
"evidence/case2_fastfail_analysis_log.json","runs/case2_factor12_fastfail_no_reprocess/analysis_log.json","非収束failureの代表例","confirmed"
"evidence/case2_mc_numba_summary.json","runs/case2-4_mc_numba_validation_20260725_220415/case2/summary.json","Case2 strict FOSとoverhead","confirmed"
"evidence/case2_mc_numba_analysis_log.json","runs/case2-4_mc_numba_validation_20260725_220415/case2/analysis_log.json","Case2 trialと構成則診断","confirmed"
"evidence/case4_mc_numba_summary.json","runs/case2-4_mc_numba_validation_20260725_220415/case4_runner/case4/summary.json","Case4 strict/Numba結果","confirmed"
"evidence/phase6_case1_summary.json","runs/phase6_20260720_verified/case1/summary.json","Phase6 Case1結果","confirmed"
"evidence/phase6_case2_summary.json","runs/phase6_20260720_verified/case2/summary.json","Phase6 Case2結果","confirmed"
"evidence/phase6_case3_summary.json","runs/phase6_20260720_verified/case3/summary.json","Phase6 Case3結果","confirmed"
"evidence/phase6_case4_summary.json","runs/phase6_20260720_verified/case4/summary.json","Phase6 Case4結果","confirmed"
"evidence/partial_case1_summary.json","outputs/srm_accuracy_partial_20260805/case1/summary.json","高速化後の部分結果 Case1","confirmed"
"evidence/partial_case2_summary.json","outputs/srm_accuracy_partial_20260805/case2/summary.json","高速化後の部分結果 Case2","confirmed"
"evidence/partial_case3_summary.json","outputs/srm_accuracy_partial_20260805/case3/summary.json","高速化後の部分結果 Case3","confirmed"
"evidence/partial_case4_summary.json","outputs/srm_accuracy_partial_20260805/case4/summary.json","高速化後の部分結果 Case4","confirmed"
"evidence/gui_freeze_watchdog.json","gui_freeze_watchdog.json","GUIイベントループ遅延","confirmed"
"evidence/geofem_audit_log.jsonl",".geofem_audit_log.jsonl","承認差戻し、再承認、autosave","confirmed"
"evidence/setup_dependencies.log","setup_dependencies.log","依存関係セットアップ","confirmed"
"evidence/gui_start.log","gui_start.log","GUI起動記録","confirmed"
"evidence/last_case2-4_mc_numba_validation.txt","last_case2-4_mc_numba_validation.txt","最新Case2/4検証run参照","confirmed"
